"","py.name","py.position","py.location","py.onORremote","py.other"
"1","37signals","Rails programmer","NULL","NULL","NULL"
"2","Framework Computer Inc","Senior Full Stack Engineer, Marketplace","NULL","REMOTE (US)","Full-time"
"3","Google Stadia","Full-time","Multiple Roles","Multiple locations (Canada, U.K., Germany, U.S., remote-eligible)","https://stadia.com/careers"
"4","Distru (https://www.distru.com)","Lead Software Engineer","Senior Software Engineer","REMOTE","Oakland, CA"
"5","Google","Software Engineer","Mountain View / Sunnyvale","NULL","NULL"
"6","Spacelift","Senior Software Engineer","Europe","Remote","Full-time"
"7","Disney Streaming","Mid/Sr Software Engineer & Engineering Manager","NULL","Remote (US Only), Hybrid Onsite in NY, Seattle, SF, Amsterdam","NULL"
"8","PlayStation","Multiple Roles","Contract","Onsite (multiple locations), Hybrid-remote, Remote","Full-Time"
"9","Nebulaworks","Senior Software Engineer","US","100% Remote","Full-Time/Contract"
"10","LWN.net","Technical journalist","NULL","NULL","NULL"
"11","Cloudflare","NULL","NULL","USA, Canada, UK, Singapore, Portugal, Germany, France, Netherlands (remote available in all the above mentioned countries)","Full-Time"
"12","BBC","NULL","Elixir","hybrid-remote","London"
"13","Curii Corporation","DevOps Engineer","NULL","Somerville, MA or REMOTE","Full-time"
"14","Hackworth","Software developer","NULL","UK REMOTE","Full-time (fixed term)"
"15","Flymachine","Sr Frontend Engineer","NULL","Bay Area, NYC, or Remote in US (preferred) or Europe","Full-Time"
"16","OnePointOne (https://onepointone.com)","Senior backend Software Engineer (Python)","NULL","NULL","Full Time"
"17","SmarterDx","NULL","NULL","Remote first","150 - 230K + equity + benefits"
"18","Fastmail","Multiple roles","https://www.fastmail.com/","Full-time","ONSITE"
"19","SixtyFPS GmbH","Embedded Software Development (Rust and C++)","Berlin/Germany","Remote(EU)","https://slint-ui.com/careers.html"
"20","European Climate Foundation","Data Engineer - Measurement, Evaluation & Learning","Flexible Location (Europe, Africa or the Americas preferred)","Remote","NULL"
"21","Fourier Audio","NULL","NULL","Remote (UK) / London","Rust+TypeScript"
"22","Fazz Financial. Group","Multiple Positions","NULL","NULL","Full-Time"
"23","Apple","Software Engineer","NULL","Onsite","Full time"
"24","Serotiny","Bioinformatics Scientist - Next Generation Sequencing + Protein Design","NULL","Remote (US), Bay Area, CA","NULL"
"25","AMD","NULL","NULL","NULL","Full Time"
"26","PC Doodle","Computer Repair Novice","Minneapolis B&M Computer Repair Shop","PART TIME","NULL"
"27","Issuu","NULL","Copenhagen, Berlin, Braga offices","Hybrid","Full-time"
"28","New York Mets","Sr Software Engineer and Technical Product Manager (Software)","Citi Field, Queens","Full-time","NULL"
"29","Washington State University","NULL","Pullman, WA","Remote or Onsite, VISA","Full-time"
"30","Lumen5","Senior Fullstack Developer & Senior Machine Learning Engineer","$123,840 - $148,610","Vancouver, BC, Canada or Remote","Fulltime"
"31","Down Dog App","Mobile Software Engineer","San Francisco, CA or New York, NY","Full-time","ONSITEDown Dog makes apps for practicing yoga, HIIT, meditation and barre. We use constraint solving to generate new workouts & playlists every time you use the app. We provided free access to millions of users since the beginning of the pandemic. We're a team of 5 people full time, dedicated to making high quality fitness & wellness affordable for everyone.We're hiring a mobile engineer to own the client side: Android, iOS, and Web. We use Kotlin multiplatform to share code across our clients, which lets us move very quickly & leverage Kotlin's rich feature set. You'll be in charge of implementing the interfaces for our unique workout & music customization. Examples include letting users choose which muscle groups to avoid, libraries for workout discovery, selecting multiple music options, etc.We're looking for someone who has front-end engineering experience on (Android"
"32","Stripe","Product Management","NULL","SF/NYC/Seattle/Chicago or Remote US","NULL"
"33","Sony ISDC","Multiple Roles","NULL","REMOTE (USA) available","NULL"
"34","Evergrow","ONSITE","San Francisco","Full-Time","Quants, senior SWEs, and commodities experts"
"35","JustWatch","NULL","Berlin, Germany","FULLTIME, REMOTE\ONSITE","NULL"
"36","Flourish","Senior Full Stack Go Engineer","NULL","Remote (PST to EST)","Full-time"
"37","Neuralink","NULL","NULL","NULL","SF Bay Area, CA & Austin, TX"
"38","Docker","NULL","NULL","REMOTE (USA, Canada, Mexico, Europe)","Full-Time, Remote-Only"
"39","Turnstile","Early Team (multiple roles)","NULL","REMOTE (US/Canada)","Full-Time"
"40","Rhyme","Software Engineer/Project Manager","NULL","Remote or Atlanta, GA or Columbus, OH","NULL"
"41","Notemeal","(1) Senior Software Engineer (2) Product Designer","NULL","Remote","NULL"
"42","Faire (YC W17)","Analytics Engineer, Data Engineer, Data Scientist, Machine Learning Engineer, Research Scientist, Software Engineer, Interns (Data Scientist Intern, Data Infra Engineer Intern, Machine Learning Engineer Intern)","NULL","NULL","NULL"
"43","Globality Inc","NULL","NULL","(ONSITE) (REMOTE) San Francisco, London, Tel Aviv","NULL"
"44","AON3D - YC W17 (https://www.aon3d.com)","Software and Design","NULL","NULL","Full-time"
"45","Downdetector","Senior Software Engineer (Backend)","NULL","Remote Europe, Hybrid Dublin","Full Time"
"46","Vinted","Multiple Positions","Berlin / Vilnius / Amsterdam","ONSITE, VISA + AssistanceVinted is an online marketplace for second-hand items and is changing the way people consume to be more sustainable.Looking for: Engineering Managers","Product Managers"
"47","SpaceX","NULL","Onsite LA, Bay Area, Seattle, Austin, Washington DC, Starbase","NULL","Full Time"
"48","Laterpress","Full-stack engineer","NULL","Remote / Brooklyn","NULL"
"49","Aquarium Learning (YC S20)","NULL","NULL","Remote (US)","Full-time"
